game_id,season,week,game_type,kickoff_utc,away_team,home_team,away_score,home_score,result,total,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,roof,surface,temp,wind,source,retrieved_at_utc,source_updated_at_utc,schema_version,content_hash
2009_01_BUF_NE,2009,1,REG,2009-09-14T23:00:00Z,BUF,NE,24,25,1,49,7,7,,,13.5,,,47.5,,,outdoors,fieldturf,70,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,6ccd3c97c980e817abc221d7e401eb2406b9667f21b6475451f00e145116e361
2009_01_CHI_GB,2009,1,REG,2009-09-14T00:20:00Z,CHI,GB,15,21,6,36,7,7,,,5.0,,,47.0,,,outdoors,grass,76,0,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,9c01bdc5aa9ecd0faf840663a668378c60300b23211ee503adf0e05077d1ad90
2009_01_DAL_TB,2009,1,REG,2009-09-13T17:00:00Z,DAL,TB,34,21,-13,55,7,7,-230,204,-4.5,101,-109,40.0,103,-113,outdoors,grass,85,6,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,050eadf7a48a6ee47b85b0afb69e57eb884b71922765a696c0e08e33d826fd3a
2009_01_DEN_CIN,2009,1,REG,2009-09-13T17:00:00Z,DEN,CIN,12,7,-5,19,7,7,196,-222,4.5,-104,-104,41.0,-112,102,outdoors,fieldturf,73,7,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,22c11f004547d57dd99311b15a5b51a123d527733c5bbd39b8c9b4279695fc94
2009_01_DET_NO,2009,1,REG,2009-09-13T17:00:00Z,DET,NO,27,45,18,72,7,7,660,-840,14.0,-105,-103,50.0,105,-115,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,17ba196459892db366a3b850e931acf200830139d29a9300d01861c150eb64d9
2009_01_JAX_IND,2009,1,REG,2009-09-13T17:00:00Z,JAX,IND,12,14,2,26,7,7,238,-270,6.5,-110,102,45.0,-105,-105,open,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,3008fe72210841d5510c078df7c10b2b0dbb7695037010416acc4ed2e2f993bf
2009_01_KC_BAL,2009,1,REG,2009-09-13T17:00:00Z,KC,BAL,24,38,14,62,7,7,570,-700,13.0,-112,104,36.5,-103,-107,outdoors,sportturf,76,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,738631ecc5ca0ca4b0d7938654e4b5f33e3d4ae6b1f944795744f11248267d33
2009_01_MIA_ATL,2009,1,REG,2009-09-13T17:00:00Z,MIA,ATL,7,19,12,26,7,7,190,-210,4.0,-104,-104,44.0,-103,-107,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,44dfa4beea7ac9e57a57d76e6ae2c3606b34272c378d22513eee3996bd8f35e1
2009_01_MIN_CLE,2009,1,REG,2009-09-13T17:00:00Z,MIN,CLE,34,20,-14,54,7,7,-215,189,-4.0,-107,-101,39.5,100,-110,outdoors,grass,70,6,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,16071fff4c85d5b9bef8e58c6f46fdfe96ebe25ca8e85b4cbcdfdb71c36b7c90
2009_01_NYJ_HOU,2009,1,REG,2009-09-13T17:00:00Z,NYJ,HOU,24,7,-17,31,7,7,201,-227,4.5,-103,-105,44.5,101,-111,closed,grass,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,7ce15fb00b783bc0d29283af8650deaf82b6542185e747f8150741692ae16bbd
2009_01_PHI_CAR,2009,1,REG,2009-09-13T17:00:00Z,PHI,CAR,38,10,-28,48,7,7,-125,115,-1.0,-120,111,43.5,-103,-107,outdoors,grass,82,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,0b953d2f5f194ee563a4297dc536b7211e88d4a92cb4a9741f9282f9eb4ed955
2009_01_SD_OAK,2009,1,REG,2009-09-15T02:15:00Z,LAC,LV,24,20,-4,44,7,7,,,-10.0,,,43.0,,,outdoors,grass,63,12,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,7a53ef38c0a8ddafb991e3fc6fb7dac849e6dbb0a91dd17400fdcb74a5e1190e
2009_01_SF_ARI,2009,1,REG,2009-09-13T20:15:00Z,SF,ARI,20,16,-4,36,7,7,207,-233,5.0,-107,-101,45.5,-104,-106,closed,grass,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,dbf869590aa01487794df5d970461e42a33c3f871bfe8d0ea2bc823b696a4030
2009_01_STL_SEA,2009,1,REG,2009-09-13T20:15:00Z,LA,SEA,0,28,28,28,7,7,,,7.0,,,41.0,,,outdoors,fieldturf,73,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,0483369d692889590289272db645ec59b4094f23de9a5b7aadb7dbfbaff3145e
2009_01_TEN_PIT,2009,1,REG,2009-09-11T00:30:00Z,TEN,PIT,10,13,3,23,7,7,228,-260,6.5,-116,107,35.5,-106,-104,outdoors,dessograss,67,9,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,f3c225892b4b31191095bdc35dff95ea0709c3c82df8f5b1aac44cdb76d74520
2009_01_WAS_NYG,2009,1,REG,2009-09-13T20:15:00Z,WAS,NYG,17,23,6,40,7,7,,,6.0,,,37.0,,,outdoors,fieldturf,80,8,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,217782ecc02b53d3da76ea3dfe92c4e5f3e2a5ad9880d6b4444ec1656a8ff65d
2009_02_ARI_JAX,2009,2,REG,2009-09-20T17:00:00Z,ARI,JAX,31,17,-14,48,7,7,142,-157,3.0,-104,-104,42.5,-110,100,outdoors,grass,83,8,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,7c40ffff1b503afd9c26a6a71b54513274715d24f2c6db1798002eb3d65920e5
2009_02_BAL_SD,2009,2,REG,2009-09-20T20:15:00Z,BAL,LAC,31,26,-5,57,7,6,128,-140,3.0,-122,113,40.0,-106,-104,outdoors,grass,83,8,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,a83e9f97b3a6fb32908324aa7b58d91ef60fb60379dd7544b68ead034d6ced9b
2009_02_CAR_ATL,2009,2,REG,2009-09-20T17:00:00Z,CAR,ATL,20,28,8,48,7,7,,,5.5,,,43.5,,,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,1a3922c35e412fb045dd06cea0655ff683d475b2ba71c72952c5f3ae5f351392
2009_02_CIN_GB,2009,2,REG,2009-09-20T17:00:00Z,CIN,GB,31,24,-7,55,7,7,,,7.5,,,42.0,,,outdoors,grass,68,7,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,fc78ed452d5d492354cba4f5a6732cab3ba3ca1a5eb6687aa37865878f224a03
2009_02_CLE_DEN,2009,2,REG,2009-09-20T20:15:00Z,CLE,DEN,6,27,21,33,7,7,,,3.0,,,38.5,,,outdoors,grass,82,9,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,ccc8fe0d827860183bacfa246a4a5071060908f3761d9eab819c2fa7f39087c9
2009_02_HOU_TEN,2009,2,REG,2009-09-20T17:00:00Z,HOU,TEN,34,31,-3,65,7,10,,,7.0,,,40.5,,,outdoors,grass,77,13,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,49812b55420f2b0d64499e3b125c6d4c4d69d90562bb051e779c09308d29315f
2009_02_IND_MIA,2009,2,REG,2009-09-22T00:30:00Z,IND,MIA,27,23,-4,50,8,8,-152,142,-3.0,-102,-106,41.0,-104,-106,outdoors,grass,84,10,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,b899c5827890d79875633f2a36bd82555ca66ebd0820ffeb1fac0f21c1617803
2009_02_MIN_DET,2009,2,REG,2009-09-20T17:00:00Z,MIN,DET,27,13,-14,40,7,7,-475,405,-10.0,104,-113,45.0,-109,-101,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,dc69cbc04f6742f0d892b48149ea5365399c8de0fecb70ea082305ba2b9354cb
2009_02_NE_NYJ,2009,2,REG,2009-09-20T17:00:00Z,NE,NYJ,9,16,7,25,6,7,,,-3.5,,,45.0,,,outdoors,fieldturf,69,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,60bc25cb7deeee74a54341540d46acddd42f24ae20ed4d60b380732bfdc91231
2009_02_NO_PHI,2009,2,REG,2009-09-20T17:00:00Z,NO,PHI,48,22,-26,70,7,7,,,-2.5,,,46.0,,,outdoors,grass,68,2,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,c2500ceca9f43230c6754a9171ec0d601296ed3e5fa72857b5848d41f114427b
2009_02_NYG_DAL,2009,2,REG,2009-09-21T00:20:00Z,NYG,DAL,33,31,-2,64,7,7,,,3.0,,,45.5,,,open,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,dfc79abed1b832b17cb81216bc21d1d64abd6bdd4200c57db97e57a73dfbac2a
2009_02_OAK_KC,2009,2,REG,2009-09-20T17:00:00Z,LV,KC,13,10,-3,23,6,7,,,1.5,,,40.0,,,outdoors,grass,72,5,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,4a2925656914dde4dce8db0dcb70a07fbee13aed48b2127d6a5fbac64ed3d2ea
2009_02_PIT_CHI,2009,2,REG,2009-09-20T20:15:00Z,PIT,CHI,14,17,3,31,10,7,-133,121,-1.0,-126,116,37.5,-103,-107,outdoors,grass,70,13,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,4af86ebf700caa953a035274d32f297133db0ab73422f1d5cea4013a6b30203f
2009_02_SEA_SF,2009,2,REG,2009-09-20T20:05:00Z,SEA,SF,10,23,13,33,7,7,-102,-108,1.0,-105,-103,39.5,-110,100,outdoors,grass,68,0,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,c2c5951dd584e977ca2c5bea5f5aa24853b0e8213eb049d544559351312086fe
2009_02_STL_WAS,2009,2,REG,2009-09-20T17:00:00Z,LA,WAS,7,9,2,16,7,7,420,-500,10.0,-114,105,37.0,-105,-105,outdoors,grass,72,7,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,78f719d29336207bc4d84de88af2f98078ba74beef6ce846d94cf4f34acefe5f
2009_02_TB_BUF,2009,2,REG,2009-09-20T20:05:00Z,TB,BUF,20,33,13,53,7,6,180,-200,4.5,-109,101,42.0,-103,-107,outdoors,astroplay,74,4,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,3ade61cc3324ba54fd3c90abd5711f959820f50f9a60f5364ea1e5a0b48eb040
2009_03_ATL_NE,2009,3,REG,2009-09-27T17:00:00Z,ATL,NE,10,26,16,36,7,7,194,-220,4.5,-109,101,45.5,100,-110,outdoors,fieldturf,62,0,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,8c51b3dc42c57ec28318fd909855c2ee4c6b7b7fa8633c2c970e30eef11becd2
2009_03_CAR_DAL,2009,3,REG,2009-09-29T00:30:00Z,CAR,DAL,7,21,14,28,8,8,350,-400,9.0,-114,105,48.0,-104,-106,closed,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,1361cb7d48713d9ce34f6fa1ecba535b81cbf5fc0b061028cd80a8387ad1edc5
2009_03_CHI_SEA,2009,3,REG,2009-09-27T20:05:00Z,CHI,SEA,25,19,-6,44,7,7,-142,130,-1.0,-130,120,37.5,-108,-102,outdoors,fieldturf,60,7,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,182de2191b21eb21bc5262fea9e65ff1ec86988e3353b40be8941c39ef01e026
2009_03_CLE_BAL,2009,3,REG,2009-09-27T17:00:00Z,CLE,BAL,3,34,31,37,7,7,620,-750,13.5,-110,102,38.5,-110,100,outdoors,sportturf,72,6,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,9015d1099b00d472b797887e87f48f23a6f14bd50c0031fe7a52a60b13bcd566
2009_03_DEN_OAK,2009,3,REG,2009-09-27T20:15:00Z,DEN,LV,23,3,-20,26,7,7,-128,118,-1.0,-121,112,38.5,102,-112,outdoors,grass,81,6,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,841d1fb8b21ff519a403ebb8e6a6fd480136f207996f897283aba910c068b2b2
2009_03_GB_STL,2009,3,REG,2009-09-27T17:00:00Z,GB,LA,36,17,-19,53,7,7,-265,233,-6.5,-103,-105,42.5,-107,-103,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,8beaaa48bd2146a7ef510b6a11244b7b6c8e7a13d11488e058630c3318c4fe2b
2009_03_IND_ARI,2009,3,REG,2009-09-28T00:20:00Z,IND,ARI,31,10,-21,41,6,7,144,-159,3.0,101,-109,49.0,103,-113,closed,grass,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,c7845842bdff0ee2b847dfa24198c4128bc6d5e5c20957d6dd4b5c3d6ca2e4e8
2009_03_JAX_HOU,2009,3,REG,2009-09-27T17:00:00Z,JAX,HOU,31,24,-7,55,7,7,180,-200,4.0,-104,-104,47.0,-112,102,closed,grass,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,42b3decb613e11e1c474db7514122468bc243e41daf1b8b00c3333602b18d3a4
2009_03_KC_PHI,2009,3,REG,2009-09-27T17:00:00Z,KC,PHI,14,34,20,48,7,7,280,-320,7.5,-115,106,38.5,-105,-105,outdoors,grass,69,6,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,11e56cbfaefde14458fe2757ba3bdf6fb235c76a1c4338b034b71447fbd4f6c4
2009_03_MIA_SD,2009,3,REG,2009-09-27T20:15:00Z,MIA,LAC,13,23,10,36,6,7,214,-240,5.5,-105,-103,45.0,-105,-105,outdoors,grass,80,11,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,89dc3ffebf921d88005132f5812d2cfbc3cb1ccc5bd8301ccbdc7200a01806bc
2009_03_NO_BUF,2009,3,REG,2009-09-27T20:05:00Z,NO,BUF,27,7,-20,34,7,7,-240,214,-5.5,-105,-103,51.5,-101,-109,outdoors,astroplay,64,9,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,5d5d39690a4ca0ea566c4efde00c504442d1407f8ff32d9a121f9539deecdfc0
2009_03_NYG_TB,2009,3,REG,2009-09-27T17:00:00Z,NYG,TB,24,0,-24,24,7,7,-245,219,-6.0,102,-110,46.0,-110,100,outdoors,grass,88,12,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,8713ee899d6c2ec32c5f183aac8edf35af8a241cedb7b62505e6ae39459cf448
2009_03_PIT_CIN,2009,3,REG,2009-09-27T20:15:00Z,PIT,CIN,20,23,3,43,7,7,-172,157,-3.5,109,-118,36.5,-107,-103,outdoors,fieldturf,65,9,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,db5a51731dce5b67a9a015ab6bb8cca6f97924debc1a7079920700960545b775
2009_03_SF_MIN,2009,3,REG,2009-09-27T17:00:00Z,SF,MIN,24,27,3,51,7,7,243,-275,7.0,-114,105,39.0,-102,-108,dome,fieldturf,,,nflverse:nflreadpy,2026-09-22T18:51:43.097248Z,,1.1.0,bdee60c82a1cfdcc6a32db99e05e80a3325fa229cc69e63cb8addadc1c152d6b
