model_version,created_at_utc,command,development_end_season,test_season,spec_hash,feature_hash,artifact_path,status,spread_alpha,total_alpha,spread_brier,spread_log_loss,spread_market_brier,spread_market_log_loss,total_brier,total_log_loss,total_market_brier,total_market_log_loss,notes,source,retrieved_at_utc,source_updated_at_utc,schema_version,content_hash
1.0.0,2026-09-13T19:14:24.558536Z,train,2024,,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,bc0f2a9b197c4ecf128f49d9dc958d077c82a6bb7627f012f127688485680928,/workspace/artifacts/models/1.0.0/candidate.joblib,LOCKED_UNTESTED,0.0,0.0,,,,,,,,,Nested chronological development complete; untouched 2025 test not consumed.,local:chronological-training,2026-09-13T19:14:24.558536Z,,1.0.0,8aec4e22796b9338fd96665edbd98ece9c3216ab08c5d8b0d3f78832f4553b95
1.0.0,2026-09-13T19:20:03.731778Z,validate,2024,,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,bc0f2a9b197c4ecf128f49d9dc958d077c82a6bb7627f012f127688485680928,/workspace/artifacts/models/1.0.0/candidate.joblib,INVALID_DATA_QUALITY,0.0,0.0,,,,,,,,,"Post-freeze validation found historical team-ID join failures for OAK/LV, SD/LAC, and STL/LA; candidate never consumed the 2025 test.",local:data-quality-validation,2026-09-13T19:20:03.731778Z,,1.0.0,36b3363a8cb2dd3634d868b296b8b3500994d3db00a90883319d2f3e25c98150
1.0.1,2026-09-13T19:22:31.492569Z,train,2024,,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,f1f3b0575525076dcd3393a521aecca7cddb241650052ea256836c2f5711e49f,/workspace/artifacts/models/1.0.1/candidate.joblib,LOCKED_UNTESTED,0.0,0.0,,,,,,,,,Nested chronological development complete; untouched 2025 test not consumed.,local:chronological-training,2026-09-13T19:22:31.492569Z,,1.0.0,7d4263bef2986f516d6ff6ddee4b2a692e938c3e209a8113fc8597205e349e5b
1.0.1,2026-09-14T01:27:23.538970Z,test,2024,2025,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,f1f3b0575525076dcd3393a521aecca7cddb241650052ea256836c2f5711e49f,/workspace/artifacts/models/1.0.1/candidate.joblib,PASS_ONLY,0.0,0.0,0.24959501188064992,0.6923374864635036,0.2495867131268083,0.6923205180550218,0.25028313560992355,0.6937141090427633,0.2504056398371012,0.6939590876085664,Untouched test consumed once; PASS-only is the default on any gate failure.,local:untouched-test,2026-09-14T01:27:23.538970Z,,1.0.0,ecfb88bbc75e2918860ce2d5cb49debd0c48ca86e0c4c1f553fbb60e564bde14
1.1.0,2026-09-14T01:46:58.707696Z,train-v11,2025,,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,70b9b68910f27223b233830d9d0354cce128dce5bf39ef4fcd175d576bc8d64f,/workspace/artifacts/models/1.1.0/candidate.joblib,LOCKED_UNTESTED_2026,0.0,0.1161508759454473,,,,,,,,,V1.1 secondary adjustment developed through 2025; only post-freeze 2026 games are prospective evaluation data. Injury diagnostics remain model-disabled.,local:v11-chronological-training,2026-09-14T01:46:58.707696Z,,1.0.0,e81009aa4d993d88a7bb1560a54e310047a80c59d36b9d34ba020a8610d6f9b7
1.1.0,2026-09-14T01:48:36.457821Z,validate-v11,2025,,dba87c9fbdb6f93346cf39e6012fc0d82410d92f4d887a648bc0dcdb191ba394,70b9b68910f27223b233830d9d0354cce128dce5bf39ef4fcd175d576bc8d64f,/workspace/artifacts/models/1.1.0/candidate.joblib,INVALID_SPEC,0.0,0.1161508759454473,,,,,,,,,"Candidate referenced the V1.0 specification, whose untouched-2025 boundary conflicts with V1.1 development through 2025. A dedicated V1.1 specification is required.",local:v11-spec-validation,2026-09-14T01:48:36.457821Z,,1.0.0,f8cb1434c51b6c77b4d98a5857206a13ac59c4504c5438fdd99c71b9d4e669d6
1.1.1,2026-09-14T01:49:12.727689Z,train-v11,2025,,e51f21289a5f63ada7c1746ad6385412db3f6a4e7fc3ba4e33e43fbdb6e9bf14,70b9b68910f27223b233830d9d0354cce128dce5bf39ef4fcd175d576bc8d64f,/workspace/artifacts/models/1.1.1/candidate.joblib,LOCKED_UNTESTED_2026,0.0,0.1161508759454473,,,,,,,,,V1.1 secondary adjustment developed through 2025; only post-freeze 2026 games are prospective evaluation data. Injury diagnostics remain model-disabled.,local:v11-chronological-training,2026-09-14T01:49:12.727689Z,,1.0.0,407fe3bd4a88c3ba06c5482405feef330ba41e8d24afbf844471a7a0fa21979e
1.1.1,2026-09-14T01:53:24.706654Z,validate-v11,2025,,e51f21289a5f63ada7c1746ad6385412db3f6a4e7fc3ba4e33e43fbdb6e9bf14,70b9b68910f27223b233830d9d0354cce128dce5bf39ef4fcd175d576bc8d64f,/workspace/artifacts/models/1.1.1/candidate.joblib,INVALID_METHOD,0.0,0.1161508759454473,,,,,,,,,Feature and ridge candidates were scored before applying their chronologically fitted residual-adjustment weight. The process was leakage-safe but did not jointly evaluate the frozen market-shrinkage setting.,local:v11-spec-validation,2026-09-14T01:53:24.706654Z,,1.0.0,aac8ef2d2f0515e355db4071c080d38d1cdba29fb380c0f753c15b6677154e52
1.1.2,2026-09-14T01:53:59.778571Z,train-v11,2025,,e51f21289a5f63ada7c1746ad6385412db3f6a4e7fc3ba4e33e43fbdb6e9bf14,70b9b68910f27223b233830d9d0354cce128dce5bf39ef4fcd175d576bc8d64f,/workspace/artifacts/models/1.1.2/candidate.joblib,LOCKED_UNTESTED_2026,0.0,0.1161508759454473,,,,,,,,,V1.1 secondary adjustment developed through 2025; only post-freeze 2026 games are prospective evaluation data. Injury diagnostics remain model-disabled.,local:v11-chronological-training,2026-09-14T01:53:59.778571Z,,1.0.0,edc91d8ecff3998a7388a4728efb8fbea91382cf34c5dace2d070579fbb939cf
challenger-0.2.0,2026-09-22T19:04:57.009484Z,train-challenger,2026,2026,49fadb583b0dee0ba78c242826cb3e521cee0c4af2da837cfd5df18936598793,56166ee81e572e0c2a70d1e4b36b4fc997d462b22eacc8661a1d4a66684bf7f1,/workspace/artifacts/models/challenger-0.2.0/candidate.joblib,SHADOW_FROZEN_WEEK3_TO_8,0.0,0.0,0.24980362602834685,0.6927536001826119,0.24980362602834685,0.6927536001826119,0.2501173189296662,0.6933818481918462,0.2501173189296662,0.6933818481918462,Frozen no-stakes Ridge/tree/blend shadow challenger for Weeks 3-8.,local:challenger-chronological-training,2026-09-22T19:04:57.009484Z,,1.1.0,c29bb34f30e7257d25ad8ea12e81018f2dc2f2cfa45ec632ed0af1b4bdbcf01f
